cookie-consent.admin.form.active.label;"Active"
cookie-consent.admin.form.add-cookie.label;"Add Cookie"
cookie-consent.admin.form.automatic-revision.label;"Automatic Revision"
cookie-consent.admin.form.automatic-revision.notes;"Use the revision number or last modification timestamp of the related privacy policy."
cookie-consent.admin.form.category.label;"Category"
cookie-consent.admin.form.consent-modal.label;"Consent Modal"
cookie-consent.admin.form.consent-modal.notes;"The widget shown to users who have not consented to the disclosed cookies."
cookie-consent.admin.form.consent-modal-description.notes;"Available placeholders:{{=<% %>=}}<ul><li><code>{{privacyPolicyLink:<em>&lt;label&gt;</em>}}</code>: Replaced with a link to the chosen privacy policy.</li><li><code>{{revisionMessage}}</code>: Replaced with the revision message.</li><li><code>{{showPreferencesModal:<em>&lt;label&gt;</em>}}</code>: Replaced with a button to show the preferences modal.</li></ul><%={{ }}=%>"
cookie-consent.admin.form.consent-modal-footer.notes;"Available placeholders:{{=<% %>=}}<ul><li><code>{{privacyPolicyLink:<em>&lt;label&gt;</em>}}</code>: Replaced with a link to the chosen privacy policy.</li><li><code>{{showPreferencesModal:<em>&lt;label&gt;</em>}}</code>: Replaced with a button to show the preferences modal.</li></ul><%={{ }}=%>"
cookie-consent.admin.form.consent-revision.label;"Consent Revision"
cookie-consent.admin.form.consent-revision.notes;"Revision management allows you to prompt users again for consent due to a change to your cookies or privacy policy."
cookie-consent.admin.form.cookie-categories.label;"Cookie Categories"
cookie-consent.admin.form.cookie-category-description.notes;"The category's description is shown in the preferences modal."
cookie-consent.admin.form.cookie-category-handle.notes;"A key to identify the category of cookies."
cookie-consent.admin.form.cookie-category-name.notes;"The category's name is shown in the preferences modal."
cookie-consent.admin.form.cookies.none;"No cookies"
cookie-consent.admin.form.cookies.label;"Cookies"
cookie-consent.admin.form.cookies-autoclear.label;"Auto-Clear Cookies"
cookie-consent.admin.form.cookies-autoclear.notes;"List of specific cookies to clear when the user rejects the category."
cookie-consent.admin.form.cookies-table.label;"Cookies Table"
cookie-consent.admin.form.cookies-table.notes;"List of cookies under this category to disclose to the user."
cookie-consent.admin.form.description.label;"Description"
cookie-consent.admin.form.footer.label;"Footer"
cookie-consent.admin.form.enabled.label;"Enabled by default"
cookie-consent.admin.form.enabled.notes;"Mark the category as enabled by default."
cookie-consent.admin.form.handle.label;"Handle"
cookie-consent.admin.form.handle.help;"Single word, no spaces. Underscores and dashes allowed."
cookie-consent.admin.form.id.label;"ID"
cookie-consent.admin.form.label;"Label"
cookie-consent.admin.form.link-label.help;"Leave blank to use default label ""Learn More"" (Object), ""Visit"" (URL), ""Download"" (File, URL)."
cookie-consent.admin.form.link-label.help.file;"Leave blank to use default label ""Download""."
cookie-consent.admin.form.link-label.help.object;"Leave blank to use default label ""Learn More""."
cookie-consent.admin.form.link-label.help.url;"Leave blank to use default label ""Visit""."
cookie-consent.admin.form.link-model.error.invalid;"The selected object is not valid."
cookie-consent.admin.form.link-model.error.missing;"Please select an object."
cookie-consent.admin.form.link-model.error.recursion;"You can not select to the current object."
cookie-consent.admin.form.link-target.label;"Link Target"
cookie-consent.admin.form.link-target.blank;"Open link in a new tab/window"
cookie-consent.admin.form.link-type.label;"Link Type"
cookie-consent.admin.form.link-file.label;"File"
cookie-consent.admin.form.link-file.notes;"Link to an uploaded document."
cookie-consent.admin.form.link-model.label;"Object"
cookie-consent.admin.form.link-model.notes;"Link to another object."
cookie-consent.admin.form.link-url.label;"URL"
cookie-consent.admin.form.link-url.notes;"Link to an external resource."
cookie-consent.admin.form.name.label;"Name"
cookie-consent.admin.form.select.none;"— None —"
cookie-consent.admin.form.preferences-modal.label;"Preferences Modal"
cookie-consent.admin.form.preferences-modal.notes;"The widget for users to learn more and customize their consent preferences."
cookie-consent.admin.form.preferences-modal-description.notes;"Available placeholders:{{=<% %>=}}<ul><li><code>{{privacyPolicyLink:<em>&lt;label&gt;</em>}}</code>: Replaced with a link to the chosen privacy policy.</li></ul><%={{ }}=%>"
cookie-consent.admin.form.privacy-policy.label;"Privacy Policy"
cookie-consent.admin.form.privacy-policy.notes;"Link to your cookie or privacy policy page or document. The policy's last modification timestamp can be used to automate the revision number."
cookie-consent.admin.form.read-only.label;"Always Enabled"
cookie-consent.admin.form.read-only.notes;"Treat the category as read-only/necessary."
cookie-consent.admin.form.reload-page.label;"Reload Page"
cookie-consent.admin.form.reload-page.notes;"Reload the page when the user rejects the cookie category."
cookie-consent.admin.form.revision-message.label;"Revision Message"
cookie-consent.admin.form.revision-message.notes;"<p>A message to let your users know what has changed since the last time they visited.</p>Available placeholders:{{=<% %>=}}<ul><li><code>{{privacyPolicyLink:<em>&lt;label&gt;</em>}}</code>: Replaced with a link to the chosen privacy policy.</li><li><code>{{showPreferencesModal:<em>&lt;label&gt;</em>}}</code>: Replaced with a button to show the preferences modal.</li></ul><%={{ }}=%>"
cookie-consent.admin.form.revision-number.label;"Revision Number"
cookie-consent.admin.form.revision-number.help;"The new revision number must be different from the current revision number."
cookie-consent.admin.form.revision-number.notes;"Increment the revision number to prompt users again for consent."
cookie-consent.admin.form.title.label;"Title"
cookie-consent.admin.model.category.plural_name;"Cookie Categories"
cookie-consent.admin.model.category.singular_name;"Cookie Category"
cookie-consent.admin.model.category.create_item;"Create new Cookie Category"
cookie-consent.admin.model.category.new_item;"New Cookie Category"
cookie-consent.admin.model.category.view_item;"View Cookie Category"
cookie-consent.admin.model.category.edit_item;"Edit Cookie Category"
cookie-consent.admin.model.category.all_items;"All Cookie Categories"
cookie-consent.admin.model.disclosure.plural_name;"Cookie Disclosures"
cookie-consent.admin.model.disclosure.singular_name;"Cookie Disclosure"
cookie-consent.admin.model.disclosure.create_item;"Create Cookie Disclosure"
cookie-consent.admin.model.disclosure.new_item;"New Cookie Disclosure"
cookie-consent.admin.model.disclosure.view_item;"View Cookie Disclosure"
cookie-consent.admin.model.disclosure.edit_item;"Edit Cookie Disclosure"
cookie-consent.admin.model.disclosure.all_items;"All Cookie Disclosure"
cookie-consent.menu-item.label;"Cookie Consent"
cookie-consent.modal.category.required;"Required"
cookie-consent.modal.consent.accept-all;"Accept All"
cookie-consent.modal.consent.accept-necessary;"Accept Necessary"
cookie-consent.modal.consent.show-preferences;"Preferences"
cookie-consent.modal.close-icon-label;"Close modal"
cookie-consent.modal.preferences.accept-all;"Accept All"
cookie-consent.modal.preferences.accept-necessary;"Accept Necessary"
cookie-consent.modal.preferences.save-preferences;"Save Preferences"
cookie-consent.cookie-table.header.domain;"Domain"
cookie-consent.cookie-table.header.duration;"Duration"
cookie-consent.cookie-table.header.name;"Name"
cookie-consent.cookie-table.header.path;"Path"
cookie-consent.cookie-table.header.purpose;"Purpose"
cookie-consent.cookie-table.header.service;"Service"
